weekend_date,SerailNum,quantity,channel_encoded,brand_encoded,category_encoded,sub_category_encoded
2022-06-04,1,56,0,0,1,1
2022-06-11,1,122,0,0,1,1
2022-06-18,1,102,0,0,1,1
2022-06-25,1,128,0,0,1,1
2022-07-02,1,97,0,0,1,1
2022-07-09,1,114,0,0,1,1
2022-07-16,1,84,0,0,1,1
2022-07-23,1,102,0,0,1,1
2022-07-30,1,115,0,0,1,1
2022-08-06,1,91,0,0,1,1
2022-08-13,1,87,0,0,1,1
2022-08-20,1,91,0,0,1,1
2022-08-27,1,129,0,0,1,1
2022-09-03,1,127,0,0,1,1
2022-09-10,1,137,0,0,1,1
2022-09-17,1,116,0,0,1,1
2022-09-24,1,147,0,0,1,1
2022-10-01,1,181,0,0,1,1
2022-10-08,1,96,0,0,1,1
2022-10-15,1,85,0,0,1,1
2022-10-22,1,121,0,0,1,1
2022-10-29,1,160,0,0,1,1
2022-11-05,1,226,0,0,1,1
2022-11-12,1,244,0,0,1,1
2022-11-19,1,256,0,0,1,1
2022-11-26,1,271,0,0,1,1
2022-12-03,1,104,0,0,1,1
2022-12-10,1,87,0,0,1,1
2022-12-17,1,97,0,0,1,1
2022-12-24,1,88,0,0,1,1
2022-12-31,1,65,0,0,1,1
2023-01-07,1,77,0,0,1,1
2023-01-14,1,68,0,0,1,1
2023-01-21,1,92,0,0,1,1
2023-01-28,1,49,0,0,1,1
2023-02-04,1,64,0,0,1,1
2023-02-11,1,128,0,0,1,1
2023-02-18,1,133,0,0,1,1
2023-02-25,1,82,0,0,1,1
2023-03-04,1,93,0,0,1,1
2023-03-11,1,82,0,0,1,1
2023-03-18,1,102,0,0,1,1
2023-03-25,1,90,0,0,1,1
2023-04-01,1,53,0,0,1,1
2023-04-08,1,99,0,0,1,1
2023-04-15,1,95,0,0,1,1
2023-04-22,1,125,0,0,1,1
2023-04-29,1,99,0,0,1,1
2023-05-06,1,129,0,0,1,1
2023-05-13,1,156,0,0,1,1
2023-05-20,1,71,0,0,1,1
2023-05-27,1,77,0,0,1,1
2023-06-03,1,85,0,0,1,1
2023-06-10,1,125,0,0,1,1
2023-06-17,1,95,0,0,1,1
2023-06-24,1,97,0,0,1,1
2023-07-01,1,94,0,0,1,1
2023-07-08,1,82,0,0,1,1
2023-07-15,1,64,0,0,1,1
2023-07-22,1,83,0,0,1,1
2023-07-29,1,78,0,0,1,1
2023-08-05,1,91,0,0,1,1
2023-08-12,1,76,0,0,1,1
2023-08-19,1,81,0,0,1,1
2023-08-26,1,63,0,0,1,1
2023-09-02,1,82,0,0,1,1
2023-09-09,1,68,0,0,1,1
2023-09-16,1,87,0,0,1,1
2023-09-23,1,76,0,0,1,1
2023-09-30,1,95,0,0,1,1
2023-10-07,1,100,0,0,1,1
2023-10-14,1,121,0,0,1,1
2023-10-21,1,63,0,0,1,1
2023-10-28,1,87,0,0,1,1
2023-11-04,1,108,0,0,1,1
2023-11-11,1,50,0,0,1,1
2023-11-18,1,29,0,0,1,1
2023-11-25,1,19,0,0,1,1
2023-12-02,1,43,0,0,1,1
2023-12-09,1,46,0,0,1,1
2023-12-16,1,30,0,0,1,1
2023-12-23,1,40,0,0,1,1
2023-12-30,1,40,0,0,1,1
2024-01-06,1,47,0,0,1,1
2024-01-13,1,44,0,0,1,1
2024-01-20,1,43,0,0,1,1
2024-01-27,1,72,0,0,1,1
2024-02-03,1,63,0,0,1,1
2024-02-10,1,41,0,0,1,1
2024-02-17,1,44,0,0,1,1
2024-02-24,1,24,0,0,1,1
2024-03-02,1,24,0,0,1,1
2024-03-09,1,47,0,0,1,1
2024-03-16,1,54,0,0,1,1
2024-03-23,1,48,0,0,1,1
2024-03-30,1,46,0,0,1,1
2024-04-06,1,35,0,0,1,1
2024-04-13,1,46,0,0,1,1
2024-04-20,1,50,0,0,1,1
2024-04-27,1,46,0,0,1,1
2024-05-04,1,45,0,0,1,1
2024-05-11,1,28,0,0,1,1
2024-05-18,1,37,0,0,1,1
2024-05-25,1,10,0,0,1,1
2024-06-01,1,24,0,0,1,1
2024-06-08,1,44,0,0,1,1
2024-06-15,1,28,0,0,1,1
2024-06-22,1,24,0,0,1,1
2024-06-29,1,28,0,0,1,1
2024-07-06,1,22,0,0,1,1
2024-07-13,1,32,0,0,1,1
2024-07-20,1,43,0,0,1,1
2024-07-27,1,68,0,0,1,1
2024-08-03,1,64,0,0,1,1
2024-08-10,1,63,0,0,1,1
2024-08-17,1,38,0,0,1,1
2024-08-24,1,54,0,0,1,1
2024-08-31,1,78,0,0,1,1
2022-08-13,3,972,2,0,2,3
2022-08-20,3,1841,2,0,2,3
2022-08-27,3,7090,2,0,2,3
2022-09-03,3,425,2,0,2,3
2022-09-10,3,5177,2,0,2,3
2022-09-17,3,3588,2,0,2,3
2022-09-24,3,2266,2,0,2,3
2022-10-01,3,214,2,0,2,3
2022-10-08,3,2398,2,0,2,3
2022-10-15,3,815,2,0,2,3
2022-10-22,3,1136,2,0,2,3
2022-10-29,3,1388,2,0,2,3
2022-11-05,3,944,2,0,2,3
2022-11-12,3,208,2,0,2,3
2022-11-19,3,749,2,0,2,3
2022-11-26,3,1973,2,0,2,3
2022-12-03,3,1416,2,0,2,3
2022-12-10,3,563,2,0,2,3
2022-12-17,3,865,2,0,2,3
2022-12-24,3,296,2,0,2,3
2022-12-31,3,1237,2,0,2,3
2023-01-07,3,315,2,0,2,3
2023-01-14,3,384,2,0,2,3
2023-01-21,3,1429,2,0,2,3
2023-01-28,3,1123,2,0,2,3
2023-02-04,3,595,2,0,2,3
2023-02-11,3,66,2,0,2,3
2023-02-18,3,267,2,0,2,3
2023-02-25,3,1866,2,0,2,3
2023-03-04,3,752,2,0,2,3
2023-03-11,3,107,2,0,2,3
2023-03-18,3,774,2,0,2,3
2023-03-25,3,960,2,0,2,3
2023-04-01,3,132,2,0,2,3
2023-04-08,3,239,2,0,2,3
2023-04-15,3,689,2,0,2,3
2023-04-22,3,651,2,0,2,3
2023-04-29,3,963,2,0,2,3
2023-05-06,3,242,2,0,2,3
2023-05-13,3,397,2,0,2,3
2023-05-20,3,743,2,0,2,3
2023-05-27,3,1001,2,0,2,3
2023-06-03,3,730,2,0,2,3
2023-06-10,3,529,2,0,2,3
2023-06-17,3,576,2,0,2,3
2023-06-24,3,431,2,0,2,3
2023-07-01,3,2892,2,0,2,3
2023-07-08,3,35,2,0,2,3
2023-07-15,3,302,2,0,2,3
2023-07-22,3,60,2,0,2,3
2023-07-29,3,217,2,0,2,3
2023-08-05,3,1945,2,0,2,3
2023-08-12,3,397,2,0,2,3
2023-08-19,3,585,2,0,2,3
2023-08-26,3,721,2,0,2,3
2023-09-02,3,2039,2,0,2,3
2023-09-09,3,708,2,0,2,3
2023-09-16,3,98,2,0,2,3
2023-09-23,3,437,2,0,2,3
2023-09-30,3,913,2,0,2,3
2023-10-07,3,330,2,0,2,3
2023-10-14,3,135,2,0,2,3
2023-10-21,3,526,2,0,2,3
2023-10-28,3,1035,2,0,2,3
2023-11-04,3,1290,2,0,2,3
2023-11-11,3,431,2,0,2,3
2023-11-18,3,154,2,0,2,3
2023-11-25,3,548,2,0,2,3
2023-12-02,3,434,2,0,2,3
2023-12-09,3,94,2,0,2,3
2023-12-16,3,296,2,0,2,3
2023-12-23,3,321,2,0,2,3
2023-12-30,3,302,2,0,2,3
2024-01-06,3,19,2,0,2,3
2024-01-13,3,994,2,0,2,3
2024-01-20,3,378,2,0,2,3
2024-01-27,3,308,2,0,2,3
2024-02-03,3,296,2,0,2,3
2024-02-10,3,88,2,0,2,3
2024-02-17,3,267,2,0,2,3
2024-02-24,3,988,2,0,2,3
2024-03-02,3,2105,2,0,2,3
2024-03-09,3,365,2,0,2,3
2024-03-16,3,585,2,0,2,3
2024-03-23,3,4201,2,0,2,3
2024-03-30,3,1070,2,0,2,3
2024-04-06,3,1183,2,0,2,3
